France,Russia,Italy,Singapore,Brazil,Belgium,Argentina,China,Portugal,Canada,United Kingdom,Colombia,Spain,Slovakia,Netherlands,Germany,Madagascar,Luxembourg,United States,Australia,Cluster,Duration_Mean,Duration_Standard_Deviation,Comments_Mean,Comments_Standard_Deviation,Taille,Summer,Autumn,Winter,Spring,man,woman,35-49,50-64,25-34,18-24,13-17,4-2a,Monument,Park/garden,Urbanism,Art gallerie/museum,Holy site/place of worship,Historic building,Theater/auditorium,Shop,Restaurant/bar,Gastronomy,Hotel,Wood,Watering place,Beach,Mountain,Music building,Cinema,Amusement park/aquarium,Sport,Viewpoint
50.0,0,0,0,0,0,0,0,0,0,25.0,0,0,0,25.0,0,0,0,0,0,1,0.0,0.0,2.0,0.0,4,25.0,25.0,25.0,25.0,50.0,50.0,25.0,75.0,0,0,0,0,3.846,3.846,15.385,3.846,3.846,15.385,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846
83.333,0,0,0,0,16.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,3.0,0.816,6,33.333,16.667,16.667,33.333,83.333,16.667,16.667,66.667,16.667,0,0,0,2.778,8.333,19.444,2.778,5.556,11.111,2.778,11.111,5.556,2.778,2.778,2.778,2.778,2.778,2.778,2.778,2.778,2.778,2.778,2.778
62.963,3.704,0,0,3.704,14.815,0,0,0,0,3.704,3.704,0,0,3.704,0,0,0,3.704,0,3,0.074,0.262,2.259,0.438,27,29.63,18.519,18.519,33.333,59.259,40.741,33.333,48.148,14.815,3.704,0,0,1.266,3.797,25.316,3.797,2.532,8.861,1.266,7.595,12.658,6.329,1.266,1.266,1.266,8.861,1.266,1.266,1.266,7.595,1.266,1.266
59.259,0,0,0,0,9.259,1.852,1.852,0,0,14.815,0,1.852,0,5.556,0,0,1.852,0,3.704,4,0.241,0.575,3.204,1.078,54,31.481,20.37,20.37,27.778,53.704,46.296,33.333,48.148,11.111,7.407,0,0,0.524,6.806,20.419,1.047,15.183,25.131,0.524,4.188,12.042,0.524,0.524,0.524,2.094,3.665,2.094,0.524,0.524,2.618,0.524,0.524
60.0,0,0,2.857,0,8.571,0,0,5.714,0,11.429,0,0,0,2.857,2.857,2.857,0,2.857,0,5,3.171,1.978,3.629,1.569,35,37.143,20.0,20.0,22.857,62.857,37.143,40.0,40.0,17.143,0,2.857,0,0.719,7.914,23.022,2.158,12.23,15.827,0.719,2.158,11.511,5.036,0.719,0.719,3.597,4.317,0.719,0.719,0.719,4.317,0.719,2.158
50.0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,0,25.0,0,0,0,0,6,0.0,0.0,2.0,0.0,4,25.0,25.0,25.0,25.0,75.0,25.0,50.0,25.0,25.0,0,0,0,3.846,3.846,26.923,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846
82.609,0,0,0,0,0,0,0,0,0,17.391,0,0,0,0,0,0,0,0,0,7,0.0,0.0,3.261,0.845,23,34.783,13.043,21.739,30.435,60.87,39.13,30.435,47.826,13.043,8.696,0,0,1.087,11.957,15.217,1.087,13.043,20.652,1.087,6.522,8.696,4.348,1.087,1.087,3.261,1.087,1.087,1.087,1.087,3.261,1.087,2.174
66.667,0,4.762,0,0,9.524,0,0,0,4.762,0,0,0,0,0,0,0,9.524,4.762,0,8,0.0,0.0,3.143,0.833,21,28.571,23.81,19.048,28.571,57.143,42.857,47.619,42.857,0,9.524,0,0,1.205,12.048,36.145,1.205,3.614,12.048,1.205,1.205,2.41,2.41,1.205,1.205,8.434,1.205,1.205,1.205,1.205,1.205,1.205,8.434
75.0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,9,0.0,0.0,2.5,0.5,8,25.0,25.0,25.0,25.0,75.0,25.0,37.5,37.5,25.0,0,0,0,2.632,2.632,21.053,2.632,2.632,2.632,2.632,2.632,21.053,13.158,2.632,2.632,2.632,2.632,2.632,2.632,2.632,2.632,2.632,2.632
50.0,0,5.556,0,0,11.111,0,0,0,0,22.222,0,0,5.556,0,5.556,0,0,0,0,10,0.0,0.0,3.444,0.685,18,33.333,16.667,22.222,27.778,44.444,55.556,38.889,44.444,16.667,0,0,0,1.266,13.924,11.392,1.266,17.722,21.519,1.266,1.266,1.266,1.266,1.266,1.266,8.861,3.797,3.797,1.266,1.266,3.797,1.266,1.266
63.5,0.5,1.0,0.5,0.5,9.5,0.5,0.5,1.0,0.5,11.0,0.5,0.5,0.5,3.0,1.5,0.5,2.0,1.5,1.0,Mean,0.63,0.537,3.09,0.916,31.48,32.0,19.5,20.5,28.0,58.5,41.5,36.0,46.0,13.0,4.5,0.5,0.0,1.146,8.138,21.802,1.881,10.482,17.151,1.146,4.117,9.504,3.508,1.146,1.146,3.766,3.877,1.798,1.146,1.146,3.673,1.146,2.282
