France,Russia,Italy,Singapore,Brazil,Belgium,Argentina,China,Portugal,Canada,United Kingdom,Colombia,Spain,Slovakia,Netherlands,Germany,Madagascar,Luxembourg,United States,Australia,Cluster,Duration_Mean,Duration_Standard_Deviation,Comments_Mean,Comments_Standard_Deviation,Taille,Summer,Autumn,Winter,Spring,man,woman,35-49,50-64,25-34,18-24,13-17,4-2a,Monument,Park/garden,Urbanism,Art gallerie/museum,Holy site/place of worship,Historic building,Theater/auditorium,Shop,Restaurant/bar,Gastronomy,Hotel,Wood,Watering place,Beach,Mountain,Music building,Cinema,Amusement park/aquarium,Sport,Viewpoint
50.0,0,1.923,0,0,7.692,0,1.923,3.846,0,21.154,0,0,1.923,1.923,1.923,0,0,3.846,0,1,0.404,1.024,3.308,1.01,52,28.846,13.462,40.385,17.308,57.692,42.308,30.769,55.769,7.692,3.846,1.923,0,0.526,1.579,35.789,3.158,14.211,34.737,0.526,0.526,1.579,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,1.579,0.526,1.053
71.429,0,0,0,3.571,17.857,0,0,0,3.571,3.571,0,0,0,0,0,0,0,0,0,2,0.714,1.332,3.357,1.172,28,32.143,14.286,7.143,46.429,53.571,46.429,39.286,32.143,25.0,3.571,0,0,0.893,20.536,12.5,0.893,2.679,2.679,0.893,0.893,4.464,0.893,0.893,0.893,18.75,6.25,5.357,0.893,0.893,9.821,0.893,8.036
75.0,0,0,0,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,0,3,0.25,0.433,2.75,0.433,4,0,25.0,50.0,25.0,0,100.0,25.0,25.0,25.0,25.0,0,0,3.448,3.448,6.897,3.448,3.448,10.345,3.448,13.793,13.793,3.448,3.448,3.448,3.448,3.448,3.448,3.448,3.448,3.448,3.448,3.448
72.0,0,0,0,0,8.0,0,0,0,0,0,4.0,0,0,12.0,0,0,4.0,0,0,4,1.12,2.065,2.04,0.196,25,28.0,36.0,4.0,32.0,76.0,24.0,52.0,32.0,12.0,4.0,0,0,1.449,1.449,20.29,1.449,1.449,1.449,1.449,1.449,26.087,1.449,1.449,1.449,1.449,20.29,1.449,1.449,1.449,10.145,1.449,1.449
50.0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,5,1.5,1.5,7.0,1.0,2,100.0,0,0,0,50.0,50.0,0,50.0,50.0,0,0,0,3.846,3.846,7.692,3.846,7.692,11.538,3.846,7.692,7.692,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846,3.846
53.333,6.667,6.667,0,0,20.0,0,0,0,0,6.667,0,0,0,0,6.667,0,0,0,0,6,0.267,0.772,2.0,0.0,15,6.667,40.0,26.667,26.667,53.333,46.667,26.667,46.667,20.0,6.667,0,0,2.083,2.083,60.417,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083
77.778,0,0,0,0,11.111,0,0,0,0,0,0,0,0,0,0,0,5.556,5.556,0,7,0.556,1.641,2.889,0.809,18,22.222,0,33.333,44.444,72.222,27.778,33.333,50.0,5.556,11.111,0,0,1.449,1.449,31.884,1.449,4.348,14.493,1.449,26.087,1.449,1.449,1.449,1.449,1.449,1.449,1.449,1.449,1.449,1.449,1.449,1.449
68.421,0,0,0,0,2.632,2.632,0,0,0,13.158,0,2.632,0,2.632,2.632,2.632,0,0,2.632,8,0.605,1.598,3.237,0.483,38,52.632,18.421,10.526,18.421,55.263,44.737,34.211,55.263,7.895,2.632,0,0,0.725,22.464,2.174,0.725,27.536,27.536,0.725,0.725,9.42,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725
61.111,0,0,5.556,0,11.111,0,0,0,0,11.111,0,0,0,5.556,0,0,5.556,0,0,9,0.889,1.629,3.944,1.353,18,33.333,27.778,5.556,33.333,55.556,44.444,44.444,38.889,16.667,0,0,0,1.136,2.273,19.318,1.136,5.682,9.091,1.136,2.273,26.136,20.455,1.136,1.136,1.136,1.136,1.136,1.136,1.136,1.136,1.136,1.136
63.5,0.5,1.0,0.5,0.5,9.5,0.5,0.5,1.0,0.5,11.0,0.5,0.5,0.5,3.0,1.5,0.5,1.5,1.5,0.5,Mean,0.63,1.39,3.09,0.756,32.25,32.0,19.5,20.5,28.0,58.5,41.5,36.0,46.0,13.0,4.5,0.5,0.0,1.077,8.333,23.359,1.761,10.688,17.421,1.077,3.642,9.078,2.816,1.077,1.077,3.577,4.182,1.702,1.077,1.077,3.688,1.077,2.214
