Argentina,Ireland,Russia,Italy,Japan,United Kingdom,Chile,Germany,Portugal,Brazil,Belgium,Mexico,Netherlands,France,Spain,United States,Canada,Australia,India,Cluster,Duration_Mean,Duration_Standard_Deviation,Comments_Mean,Comments_Standard_Deviation,Taille,Summer,Autumn,Winter,Spring,man,woman,35-49,50-64,25-34,18-24,13-17,4-2a,Monument,Park/garden,Urbanism,Art gallerie/museum,Holy site/place of worship,Historic building,Theater/auditorium,Shop,Restaurant/bar,Gastronomy,Hotel,Wood,Watering place,Beach,Mountain,Music building,Cinema,Amusement park/aquarium,Sport,Viewpoint
6.753,0,0,0,3.274,12.415,0,0,0,13.097,0,0,0,6.071,4.229,13.438,3.342,5.389,3.479,1,1.208,2.542,7.018,3.496,1466,36.562,23.056,16.985,23.397,48.568,51.432,35.198,40.655,20.055,3.82,0.273,0,9.426,4.485,25.706,9.096,8.349,18.076,1.087,0.039,0.612,0.417,0.592,0.01,14.183,0.01,0.01,0.806,0.01,1.058,0.184,5.844
0,2.358,0,8.391,0,28.849,0,0,0,3.259,2.913,0,1.942,25.312,6.796,4.369,0,1.872,0,2,0.55,1.504,3.374,1.598,1442,32.108,23.856,21.637,22.399,45.77,54.23,49.029,19.14,24.341,7.351,0.139,0,1.025,0.615,2.602,1.947,1.148,2.623,0.02,5.184,21.598,4.365,9.877,0.02,0.041,0.02,0.02,0.533,0.02,47.807,0.061,0.471
6.824,0,3.869,19.13,0,3.654,0,0,0,20.419,0,0,0,10.478,5.159,5.588,1.72,2.042,0,3,0.766,1.79,4.631,1.469,1861,31.005,23.213,20.795,24.987,50.349,49.651,41.698,21.01,30.736,6.341,0.215,0,21.846,5.108,10.147,15.858,2.039,17.283,0.012,0.012,1.147,0.753,1.019,0.012,0.012,0.012,0.012,1.216,0.012,2.108,0.081,21.314
4.308,0,2.642,8.208,0,10.566,0,0,0,12.107,0,0,0,10.472,3.333,16.226,3.711,5.849,0,4,0.731,1.78,3.897,1.703,3180,33.774,24.057,19.371,22.799,47.767,52.233,36.604,35.566,22.767,4.937,0.126,0,0.411,7.372,14.801,15.518,18.105,32.544,0.016,0.008,1.998,0.556,3.207,0.008,0.008,0.008,0.008,1.434,0.008,1.152,0.556,2.28
2.28,0,0,7.047,2.383,16.373,0,0,0,10.259,0,0,0,5.181,2.487,16.58,4.87,7.254,0,5,0.85,1.99,4.95,2.665,965,34.301,28.808,16.062,20.829,54.508,45.492,36.373,30.155,27.358,5.803,0.311,0,16.921,5.076,11.552,14.017,17.067,30.75,0.063,0.021,0.564,0.313,0.773,0.021,0.021,0.021,0.021,1.065,0.021,1.149,0.209,0.355
7.983,0,3.782,14.286,3.361,1.681,0,0,0,23.95,0,0,0,10.504,8.403,4.202,0,3.361,0,6,1.101,2.395,7.303,3.398,238,39.076,21.429,16.807,22.689,44.958,55.042,39.496,29.832,24.79,5.462,0.42,0,14.743,5.6,10.057,9.257,4.4,26.514,13.6,0.057,0.571,0.229,0.457,0.057,0.057,0.057,0.057,0.457,0.057,1.086,0.057,12.629
6.909,0,3.515,19.03,2.667,0,1.576,1.939,0,30.424,0,1.455,0,8.121,6.424,0,0,0,0,7,1.093,2.122,6.109,2.154,825,32.121,29.939,19.273,18.667,52.97,47.03,37.818,20.242,34.788,7.03,0.121,0,30.801,5.045,11.711,11.612,3.838,14.896,0.02,0.02,0.396,0.138,0.317,0.02,0.02,0.02,0.02,0.712,0.02,0.93,0.04,19.426
3.562,0,0,7.379,4.326,7.125,0,0,0,12.214,0,0,0,17.048,3.562,13.232,6.361,4.835,0,8,0.987,2.141,5.298,2.348,393,36.896,22.392,15.776,24.936,45.293,54.707,36.387,38.422,19.593,5.598,0,0,0.86,6.065,11.557,11.605,7.498,35.291,18.768,0.048,2.053,1.528,1.194,0.048,0.048,0.048,0.048,0.907,0.048,0.478,0.287,1.624
13.793,0,2.802,10.776,3.448,0,1.509,0,1.94,34.483,0,0,0,4.526,9.483,1.724,0,0,0,9,2.054,3.329,11.218,3.071,464,33.621,24.353,18.966,23.06,53.017,46.983,38.362,25.431,29.957,6.25,0,0,15.333,7.216,21.013,8.981,3.512,16.58,4.644,0.077,0.729,0.441,0.211,0.019,6.755,0.019,0.019,1.881,0.019,0.902,0.019,11.629
4.975,0.314,1.911,9.932,1.237,11.002,0.185,0.148,0.083,14.944,0.388,0.111,0.258,11.187,4.772,10.245,2.501,3.941,0.471,Mean,0.89,1.986,5.077,2.131,1831.501,33.598,24.515,19.088,22.799,49.123,50.877,39.145,29.463,25.54,5.677,0.175,0.0,10.15,5.218,13.373,11.911,9.278,21.762,1.342,0.709,3.94,1.048,2.666,0.016,2.225,0.016,0.016,1.082,0.016,7.459,0.244,7.529
