India,Australia,Brazil,United States,Portugal,Switzerland,Mexico,Argentina,Japan,Netherlands,France,Spain,Russia,Germany,Ireland,Canada,Belgium,Turkey,Italy,United Kingdom,Colombia,Cluster,Duration_Mean,Duration_Standard_Deviation,Comments_Mean,Comments_Standard_Deviation,Taille,Summer,Autumn,Winter,Spring,man,woman,35-49,50-64,25-34,18-24,13-17,4-2a,Monument,Park/garden,Urbanism,Art gallerie/museum,Holy site/place of worship,Historic building,Theater/auditorium,Shop,Restaurant/bar,Gastronomy,Hotel,Wood,Watering place,Beach,Mountain,Music building,Cinema,Amusement park/aquarium,Sport,Viewpoint
5.924,3.318,9.242,11.137,0,0,0,3.791,0,0,5.45,5.924,0,0,0,4.976,0,0,5.924,10.664,0,1,0.692,1.446,7.493,2.437,422,33.649,20.142,18.483,27.725,52.607,47.393,39.1,34.123,22.986,3.081,0.711,0,15.217,2.867,23.945,6.459,8.853,15.312,0.032,0.063,0.252,0.063,0.567,0.032,13.296,0.032,0.032,1.26,0.032,1.386,0.095,10.208
0,0,8.727,6.182,0,0,0,0,1.818,1.455,40.727,3.273,0,1.455,0,0,2.909,0,7.273,9.455,0,2,0.935,1.925,3.844,2.02,275,22.545,19.636,29.818,28.0,50.909,49.091,38.545,35.273,21.455,4.727,0,0,5.214,4.097,5.866,7.821,6.704,12.756,0.093,0.186,29.05,13.873,8.566,0.093,0.093,0.093,0.093,0.093,0.093,1.583,0.093,3.538
0,3.156,9.613,11.478,0,0,0,3.874,0,0,15.352,8.178,0,0,0,2.296,2.869,0,6.743,9.182,0,3,0.595,1.479,4.805,1.97,697,29.986,19.369,20.23,30.416,51.22,48.78,42.468,25.538,26.255,5.165,0.574,0,21.592,5.495,11.464,3.445,11.316,14.731,0.03,0.564,0.95,0.059,2.079,0.03,0.03,0.03,0.03,0.059,0.03,6.504,0.178,21.384
0,0,0,1.884,0,2.387,0,0,0,3.015,32.789,9.296,0,2.261,1.759,0,6.658,0,5.151,26.382,0,4,0.515,1.438,3.144,1.366,796,25.0,21.608,27.261,26.131,49.497,50.503,52.261,13.317,27.513,6.658,0.251,0,0.04,0.159,0.754,0.436,0.238,0.912,0.04,7.656,11.384,0.159,15.073,0.04,0.079,0.04,0.04,0.04,0.04,62.753,0.04,0.079
0,2.756,7.48,9.843,0,0,0,2.362,0,0,30.315,0,2.756,0,0,3.543,3.15,0,8.661,6.693,0,5,0.681,1.63,3.61,2.01,254,27.559,16.535,25.197,30.709,50.0,50.0,35.039,44.882,16.535,3.543,0,0,0.428,32.727,29.198,12.727,3.85,13.583,0.107,0.107,3.209,1.925,0.642,0.107,0.107,0.107,0.107,0.107,0.107,0.535,0.214,0.107
2.182,0,16.364,11.273,0,0,0,4.727,3.273,0,4.0,6.909,0,0,0,0,0,0,8.364,9.091,2.545,6,1.305,2.448,11.796,3.214,275,31.273,21.455,18.182,29.091,56.364,43.636,40.727,26.909,27.273,5.091,0,0,16.073,4.395,21.573,8.082,9.465,18.408,1.045,0.277,0.369,0.246,0.4,0.031,8.451,0.031,0.031,0.184,0.031,1.444,0.061,9.404
0,3.711,13.672,16.602,0,0,0,3.906,0,0,6.641,6.055,2.734,0,0,3.906,0,0,8.594,10.352,0,7,0.674,1.619,5.139,1.356,512,29.297,19.922,19.727,31.055,57.617,42.383,44.336,22.07,26.172,7.031,0.391,0,19.282,1.361,5.217,19.433,7.032,25.936,0.038,0.038,0.454,0.189,0.945,0.038,0.038,0.038,0.038,0.038,0.038,0.832,0.038,18.979
0,0,7.303,16.292,0,0,0,4.494,6.742,0,20.225,3.933,0,0,0,4.494,3.933,0,6.18,5.618,0,8,1.14,2.708,5.466,2.592,178,22.472,17.978,33.146,26.404,43.258,56.742,32.584,44.944,18.539,3.933,0,0,1.112,5.763,12.942,9.707,10.415,34.681,17.594,0.101,2.022,1.112,0.708,0.101,0.404,0.101,0.101,1.618,0.101,0.101,0.202,1.112
0,2.957,4.57,16.398,0,0,0,0,0,0,21.237,3.226,2.419,0,0,4.301,2.688,0,6.72,14.785,0,9,0.685,1.598,3.011,1.145,372,24.731,15.323,29.57,30.376,54.839,45.161,40.054,31.183,22.043,6.72,0,0,0.704,1.673,26.761,18.398,4.137,23.239,0.088,0.176,1.232,0.176,15.405,0.088,0.088,0.088,0.088,0.088,0.088,6.162,1.232,0.088
2.887,2.887,14.173,14.961,0,0,0,0,0,0,12.073,3.412,0,2.625,0,4.462,0,0,5.512,10.236,0,10,0.675,1.693,4.255,2.122,381,25.459,15.748,32.021,26.772,59.318,40.682,36.745,33.333,24.934,4.987,0,0,23.03,5.681,16.799,12.34,12.523,23.946,0.061,0.061,0.183,0.122,1.283,0.061,0.061,0.061,0.061,0.061,0.061,0.977,0.061,2.566
