Turkey,Japan,France,Canada,Switzerland,Costa Rica,Argentina,Spain,United Kingdom,Netherlands,Russia,Belgium,Malaysia,United States,Georgia,Italy,Germany,Australia,Portugal,Brazil,Romania,Sweden,South Africa,Singapore,India,Cluster,Duration_Mean,Duration_Standard_Deviation,Comments_Mean,Comments_Standard_Deviation,Taille,Summer,Autumn,Winter,Spring,man,woman,35-49,50-64,25-34,18-24,13-17,4-2a,Monument,Park/garden,Urbanism,Art gallerie/museum,Holy site/place of worship,Historic building,Theater/auditorium,Shop,Restaurant/bar,Gastronomy,Hotel,Wood,Watering place,Beach,Mountain,Music building,Cinema,Amusement park/aquarium,Sport,Viewpoint
0,0,3.509,3.509,0,0,0,1.754,10.526,0,0,0,1.754,40.351,0,12.281,0,0,0,5.263,0,0,0,1.754,3.509,1,2.088,3.097,16.386,5.438,57,42.105,15.789,10.526,31.579,68.421,31.579,47.368,33.333,15.789,3.509,0,0,10.191,4.459,16.242,8.599,13.057,26.008,5.945,0.212,1.062,0.743,0.637,0.106,4.034,0.106,0.106,1.486,0.106,0.531,0.212,6.157
0,1.994,25.0,0,0,0,2.301,5.828,9.509,0,0,3.681,0,5.368,0,9.663,0,2.147,0,14.264,0,0,0,0,0,2,0.707,1.679,4.04,1.955,652,0,10.276,89.724,0,51.534,48.466,42.791,26.994,23.313,6.442,0.46,0,6.828,4.376,13.467,10.185,17.691,26.707,0.038,0.038,4.338,1.283,4.225,0.038,0.038,0.038,0.038,0.038,0.038,10.524,0.038,0.038
0,0,17.372,2.45,2.895,0,0,6.013,13.808,2.673,0,0,0,13.14,0,11.136,4.677,0,0,4.9,0,0,0,0,0,3,0.606,1.439,3.503,1.561,449,1.559,0,0,98.441,49.22,50.78,37.194,31.626,24.722,5.791,0.668,0,0.126,7.291,12.508,8.36,17.348,24.89,0.063,0.063,5.657,1.131,7.668,0.063,0.063,0.063,0.063,0.063,0.063,14.331,0.063,0.126
0,2.66,8.156,0,0,0,6.738,5.496,10.461,0,0,0,0,14.184,0,9.043,0,2.482,0,8.333,0,0,0,0,4.433,4,1.321,2.685,8.149,3.898,564,34.929,18.262,21.631,25.177,56.56,43.44,40.78,32.624,20.745,5.496,0.355,0,10.093,3.82,27.458,5.796,13.11,19.622,1.02,0.043,0.412,0.26,0.608,0.022,12.242,0.022,0.022,0.065,0.022,0.955,0.065,4.341
0,0,19.863,5.137,0,0,4.11,3.425,4.795,0,3.082,0,0,13.356,0,7.534,2.74,0,0,11.644,0,0,0,0,0,5,1.301,2.581,6.562,3.57,292,30.137,21.233,23.973,24.658,52.397,47.603,40.411,33.562,22.945,2.397,0.685,0,4.212,5.2,12.116,7.332,14.561,35.153,15.185,0.104,1.352,0.624,0.676,0.052,0.52,0.052,0.052,0.728,0.052,0.884,0.052,1.092
0,0,14.765,4.362,0,0,3.691,0,10.067,0,3.02,0,0,15.772,0,9.732,3.02,3.02,0,6.376,0,0,0,0,0,6,0.674,1.619,4.171,1.922,298,0.336,99.664,0,0,53.02,46.98,32.55,41.611,21.812,4.027,0,0,2.617,5.789,14.671,13.481,22.363,32.831,0.079,0.079,3.093,0.872,1.507,0.079,0.079,0.079,0.079,0.079,0.079,1.427,0.079,0.634
0,0,0,4.808,0,0,0,0,20.192,1.923,0,0,0,18.75,0,4.327,1.923,5.769,0,8.654,0,1.923,0,0,1.923,7,0.548,1.351,6.202,2.57,208,0,0,99.519,0.481,52.885,47.115,40.385,27.885,23.077,8.173,0.481,0,19.724,1.842,7.368,10.13,14.275,25.48,0.077,0.384,0.23,0.153,1.535,0.077,0.077,0.077,0.077,0.077,0.077,2.226,0.077,16.04
0,0,1.739,6.377,0,0,0,1.739,17.391,0,0,0,0,32.174,0,3.188,0,7.246,0,4.928,0,0,0,1.449,4.058,8,1.107,2.25,6.388,2.689,345,78.841,0,0,21.159,52.754,47.246,46.957,25.507,21.449,5.797,0.29,0,22.643,2.887,7.352,11.141,12.224,24.177,0.045,0.09,0.226,0.045,0.902,0.045,0.045,0.045,0.045,0.767,0.045,1.443,0.045,15.787
0,0,7.101,2.959,0,0,0,5.325,14.793,3.55,0,0,0,14.201,0,8.284,0,4.142,2.959,7.692,0,0,0,0,0,9,1.503,2.858,6.29,3.614,169,17.751,28.994,27.219,26.036,52.663,47.337,43.787,29.586,23.077,3.55,0,0,9.201,3.067,15.985,5.483,14.684,21.283,1.115,0.186,1.115,0.836,1.394,0.093,2.974,0.093,0.093,15.706,0.093,2.323,0.093,4.182
0,0,17.927,4.536,0,0,4.104,3.456,7.127,0,0,2.16,0,15.119,0,8.207,0,3.24,0,10.151,0,0,0,0,0,10,0.801,1.911,4.019,1.601,463,98.704,0,0,1.296,56.803,43.197,40.821,36.069,19.006,4.104,0,0,5.218,6.763,17.306,10.543,21.938,30.671,0.053,0.053,2.077,0.799,1.331,0.053,0.053,0.053,0.053,0.053,0.053,1.704,0.532,0.692
0,0,7.181,2.128,0,0,3.723,5.585,12.5,0,0,0,0,17.021,0,8.777,0,2.66,0,13.032,0,0,0,0,2.128,11,0.779,1.926,5.67,2.489,376,10.904,0,0,89.096,57.181,42.819,43.617,24.734,25.0,6.383,0.266,0,16.876,4.942,12.96,7.413,18.601,26.154,0.047,0.14,0.699,0.28,0.979,0.047,0.047,0.047,0.047,0.093,0.047,2.424,0.047,8.112
0,0,2.247,6.18,0,0,2.247,0,21.348,0,0,0,0,28.652,0,2.247,0,11.236,0,2.809,0,0,1.685,0,3.933,12,0.736,2.321,5.893,2.292,178,0,100.0,0,0,49.438,50.562,38.202,34.27,24.157,3.371,0,0,22.526,2.733,6.786,13.007,10.179,24.788,0.094,0.094,0.283,0.094,0.943,0.094,0.094,0.094,0.094,0.094,0.094,0.848,0.094,16.965
0,0,21.101,0,0,0,0,10.092,30.734,2.752,0,4.128,0,3.67,0,7.798,2.294,0,3.211,1.835,0,0,0,0,0,13,0.78,1.801,2.596,0.915,218,64.22,35.78,0,0,57.339,42.661,49.541,24.312,22.018,3.67,0.459,0,0.342,1.027,3.425,0.514,1.027,1.712,0.171,0.171,9.418,0.514,21.404,0.171,0.171,0.171,0.171,0.171,0.171,58.904,0.171,0.171
0.877,0,22.807,0,1.754,0,0,9.649,35.088,0.877,0,5.263,0,2.632,0,8.772,3.509,0,0,0,0,0,0,0,0,14,0.868,1.843,4.64,1.208,114,21.053,16.667,29.825,32.456,58.772,41.228,49.123,18.421,25.439,5.263,1.754,0,0.184,0.184,0.919,0.184,0.551,0.735,0.184,20.956,6.985,0.551,10.11,0.184,0.184,0.184,0.184,0.184,0.184,56.985,0.184,0.184
0,0,0,15.909,0,2.273,0,0,9.091,0,0,2.273,0,27.273,6.818,0,0,4.545,4.545,15.909,2.273,0,0,0,0,15,2.841,2.662,12.545,3.026,44,22.727,38.636,13.636,25.0,47.727,52.273,38.636,36.364,18.182,6.818,0,0,8.766,4.114,8.766,14.311,20.215,33.81,0.179,0.179,0.358,0.358,0.537,0.179,0.716,0.179,0.179,0.537,0.179,0.358,0.179,5.903
0.023,0.633,13.44,2.824,0.339,0.023,2.553,4.337,13.305,0.655,0.407,1.129,0.023,15.021,0.068,8.087,1.152,2.891,0.316,8.539,0.023,0.09,0.068,0.136,1.355,Mean,0.93,2.022,5.453,2.423,398.205,29.162,19.855,24.305,26.677,53.896,46.104,41.563,30.495,22.408,5.173,0.361,0.0,8.925,4.422,13.738,8.569,15.402,24.58,1.303,0.636,2.582,0.643,3.407,0.064,1.817,0.064,0.064,0.791,0.064,8.382,0.121,4.424
