Turkey,Japan,France,Switzerland,Canada,Egypt,Argentina,Spain,United Kingdom,United Arab Emirates,Netherlands,New Zealand,Russia,Belgium,Chile,Hong Kong,United States,Georgia,Italy,Germany,Australia,Portugal,Brazil,China,Romania,Sweden,South Africa,Singapore,India,Cluster,Duration_Mean,Duration_Standard_Deviation,Comments_Mean,Comments_Standard_Deviation,Taille,Summer,Autumn,Winter,Spring,man,woman,35-49,50-64,25-34,18-24,13-17,4-2a,Monument,Park/garden,Urbanism,Art gallerie/museum,Holy site/place of worship,Historic building,Theater/auditorium,Shop,Restaurant/bar,Gastronomy,Hotel,Wood,Watering place,Beach,Mountain,Music building,Cinema,Amusement park/aquarium,Sport,Viewpoint
0,0,0,0,0,0,0,2.5,12.5,0,0,0,0,0,0,0,32.5,0,2.5,0,0,5.0,5.0,0,5.0,2.5,0,2.5,5.0,1,2.15,3.198,14.775,3.824,40,35.0,25.0,15.0,25.0,77.5,22.5,47.5,27.5,22.5,2.5,0,0,10.351,3.84,20.033,6.01,11.519,23.205,6.344,0.167,0.668,0.501,0.835,0.167,6.678,0.167,0.167,2.838,0.167,0.501,0.167,5.676
0,2.165,14.719,0,0,0,5.844,5.628,5.411,0,1.948,0,0,0,0,0,6.71,0,9.74,1.948,0,0,20.346,0,0,0,0,0,0,2,0.844,1.924,4.773,2.185,462,26.623,18.831,23.593,30.952,58.658,41.342,43.506,25.325,25.108,6.061,0,0,20.792,5.311,18.047,6.211,20.027,25.698,0.045,0.045,0.675,0.27,0.765,0.045,0.045,0.045,0.045,0.045,0.045,1.665,0.045,0.135
0,0,27.711,1.893,0,0,0,8.434,24.096,0,0,0,0,4.131,0,0,5.68,0,8.434,1.893,0,1.893,3.098,0,0,0,0,0,0,3,0.668,1.586,2.713,0.958,581,26.334,15.491,29.432,28.744,50.947,49.053,48.881,19.793,25.645,5.508,0.172,0,0.125,1.694,2.886,2.572,2.698,5.583,0.063,0.063,9.285,0.063,22.961,0.063,0.063,0.063,0.063,0.063,0.063,51.506,0.063,0.063
0,3.198,11.337,0,0,0,9.302,6.395,5.814,0,2.326,0,0,0,2.616,0,8.14,0,13.372,0,0,0,10.756,0,0,0,0,0,0,4,1.256,2.544,6.948,3.364,344,30.814,18.023,24.709,26.453,58.721,41.279,40.988,32.558,20.349,5.814,0.291,0,6.83,5.04,31.862,4.79,14.869,18.701,0.042,0.083,0.625,0.333,0.583,0.042,14.286,0.042,0.042,0.083,0.042,1.083,0.083,0.541
0,0,19.557,0,5.535,0,4.428,3.321,5.166,0,0,0,3.321,0,0,0,12.177,0,8.487,2.952,0,0,11.808,0,0,0,0,0,0,5,1.159,2.399,6.354,3.383,271,31.365,21.033,23.985,23.616,52.03,47.97,40.221,33.948,22.509,2.583,0.738,0,4.164,5.437,11.741,7.403,14.98,35.685,15.674,0.058,1.157,0.463,0.752,0.058,0.058,0.058,0.058,0.405,0.058,0.81,0.058,0.925
0,0,17.186,0,3.791,0,2.864,3.791,8.003,0,0,0,0,0,0,0,13.901,0,9.773,3.033,3.454,0,8.762,0,0,0,0,0,0,6,0.651,1.57,4.03,1.563,1187,29.318,20.64,25.695,24.347,53.496,46.504,35.973,38.332,20.303,4.886,0.505,0,0.187,6.851,16.097,13.036,22.387,33.132,0.021,0.021,3.748,1.562,0.5,0.021,0.021,0.021,0.021,0.021,0.021,1.249,0.208,0.875
0,0,0,0,5.705,0,0,3.02,15.772,0,0,0,0,0,0,0,27.517,2.685,5.034,0,5.034,1.678,7.718,0,0,0,0,0,3.356,7,1.238,2.408,8.487,2.564,298,30.872,22.483,21.477,25.168,50.0,50.0,41.611,29.866,22.819,5.705,0,0,10.307,3.423,8.458,11.566,22.069,33.281,0.039,0.039,0.236,0.157,0.905,0.039,0.039,0.039,0.039,0.118,0.039,0.629,0.039,8.537
0,0,0,0,6.122,0,0,0,20.068,1.361,1.361,0,0,0,0,0,34.014,0,0,0,7.823,0,2.721,0,0,0,1.701,2.041,4.422,8,1.238,2.568,7.83,3.305,294,31.973,22.109,20.748,25.17,53.061,46.939,38.095,30.612,23.469,7.143,0.68,0,25.097,2.851,7.732,10.367,13.391,24.968,0.864,0.043,0.13,0.086,0.518,0.043,0.043,0.043,0.043,0.043,0.043,0.734,0.086,12.873
0,0,7.33,0,4.188,0,0,5.236,14.66,0,3.141,0,0,0,0,0,17.801,0,7.853,0,4.188,0,7.33,0,0,0,2.618,0,0,9,1.471,2.83,6.267,3.547,191,24.607,25.654,24.607,25.131,50.785,49.215,45.55,28.272,23.037,3.141,0,0,10.331,3.058,14.545,6.198,13.554,21.405,1.488,0.165,1.405,1.074,1.322,0.083,2.314,0.083,0.083,15.537,0.083,2.066,0.083,5.124
0,0,0,0,4.103,1.538,0,0,21.026,0,0,0,0,0,0,0,30.256,0,0,0,5.128,0,1.538,1.538,0,0,3.077,1.538,10.256,10,1.492,2.918,8.913,3.923,195,39.487,15.385,15.897,29.231,53.333,46.667,40.513,33.846,22.051,3.077,0.513,0,16.391,1.999,20.674,7.424,10.166,18.447,0.057,0.057,0.171,0.114,1.713,0.057,10.051,0.057,0.057,0.057,0.057,1.085,0.114,11.251
